id_code_in_source_dataset,entered_by,source_of_data_literature_contact,contact_person_or_citation,species_genus_sp,field_or_museum,date_captured,month_captured,month_number,method_pcr_q_pcr_histology,bd_positive_blank_or_1,bd_negative_blank_or_1,bd_load_ze_if_q_pcr,bd_its_copies,standard_strain_if_q_pcr,notes_on_methods,locality,simplified_locality,regulation_0_unreg_1_upstream_dam_2_downstream_dam,river_system_watershed,county,boylii_clade,location_moved_1_if_yes,dubious_location_1_if_yes,note_on_location,palmer_z_index,phdi,pdsi,sex_f_m_u,life_stage_a_j_t,svl_mm,weight_g,notes,recap_y_n,identifier_if_recap,does_local_population_density_data_exist_for_this_site_y_n,utm_easting,utm_northing,ct,monthly_average_precip
sk2019.33,sjk,contact,skupferberg@gmail.com,Rana boylii,Field,5/25/2019,1558742400,5,qPCR,NULL,1,0,NULL,Brazil,NA,Coyote,Coyote,2,Coyote,Santa Clara,WC,NA,NA,NA,NA,NA,NA,U,T,13.5,NA,NA,N,NULL,NA,NULL,NULL,NA,NA
sk2019.330,sjk,contact,skupferberg@gmail.com,Rana boylii,Field,10/30/2019,1572393600,10,qPCR,1,NULL,9.125,NULL,Brazil,NA,Coyote,Coyote,2,Coyote,Santa Clara,WC,NA,NA,NA,NA,NA,NA,M,A,40,10,NA,N,NULL,NA,NULL,NULL,NA,NA
sk2019.331,sjk,contact,skupferberg@gmail.com,Rana boylii,Field,10/30/2019,1572393600,10,qPCR,1,NULL,714.259,NULL,Brazil,NA,Coyote,Coyote,2,Coyote,Santa Clara,WC,NA,NA,NA,NA,NA,NA,M,A,38.2,6,NA,N,NULL,NA,NULL,NULL,NA,NA
sk2019.332,sjk,contact,skupferberg@gmail.com,Rana boylii,Field,10/30/2019,1572393600,10,qPCR,1,NULL,3473.702,NULL,Brazil,NA,Coyote,Coyote,2,Coyote,Santa Clara,WC,NA,NA,NA,NA,NA,NA,F,A,37.8,7.5,NA,N,NULL,NA,NULL,NULL,NA,NA
sk2019.333,sjk,contact,skupferberg@gmail.com,Rana boylii,Field,10/30/2019,1572393600,10,qPCR,1,NULL,57387.129,NULL,Brazil,NA,Coyote,Coyote,2,Coyote,Santa Clara,WC,NA,NA,NA,NA,NA,NA,U,J,34.2,5.5,NA,N,NULL,NA,NULL,NULL,NA,NA
sk2019.34,sjk,contact,skupferberg@gmail.com,Rana boylii,Field,5/25/2019,1558742400,5,qPCR,NULL,1,0,NULL,Brazil,NA,Coyote,Coyote,2,Coyote,Santa Clara,WC,NA,NA,NA,NA,NA,NA,U,T,12.2,NA,NA,N,NULL,NA,NULL,NULL,NA,NA
sk2019.35,sjk,contact,skupferberg@gmail.com,Rana boylii,Field,5/25/2019,1558742400,5,qPCR,NULL,1,0,NULL,Brazil,NA,Coyote,Coyote,2,Coyote,Santa Clara,WC,NA,NA,NA,NA,NA,NA,U,T,12.9,NA,NA,N,NULL,NA,NULL,NULL,NA,NA
sk2019.36,sjk,contact,skupferberg@gmail.com,Rana boylii,Field,5/25/2019,1558742400,5,qPCR,NULL,1,0,NULL,Brazil,NA,Coyote,Coyote,2,Coyote,Santa Clara,WC,NA,NA,NA,NA,NA,NA,U,T,9.9,NA,NA,N,NULL,NA,NULL,NULL,NA,NA
sk2019.37,sjk,contact,skupferberg@gmail.com,Rana boylii,Field,8/14/2019,1565740800,8,qPCR,NULL,1,0,NULL,Brazil,NA,Coyote,Coyote,2,Coyote,Santa Clara,WC,NA,NA,NA,NA,NA,NA,U,J,23.3,2.1,no dead frogs at larger pool,N,NULL,NA,NULL,NULL,NA,NA
sk2019.38,sjk,contact,skupferberg@gmail.com,Rana boylii,Field,8/14/2019,1565740800,8,qPCR,NULL,1,0,NULL,Brazil,NA,Coyote,Coyote,2,Coyote,Santa Clara,WC,NA,NA,NA,NA,NA,NA,U,J,24.9,2.2,no dead frogs at larger pool,N,NULL,NA,NULL,NULL,NA,NA
sk2019.39,sjk,contact,skupferberg@gmail.com,Rana boylii,Field,8/14/2019,1565740800,8,qPCR,NULL,1,0,NULL,Brazil,NA,Coyote,Coyote,2,Coyote,Santa Clara,WC,NA,NA,NA,NA,NA,NA,U,J,24.1,2.5,no dead frogs at larger pool,N,NULL,NA,NULL,NULL,NA,NA
sk2019.40,sjk,contact,skupferberg@gmail.com,Rana boylii,Field,8/14/2019,1565740800,8,qPCR,1,NULL,1261.617,NULL,Brazil,NA,Coyote,Coyote,2,Coyote,Santa Clara,WC,NA,NA,NA,NA,NA,NA,U,J,24.8,3.3,no dead frogs at larger pool,N,NULL,NA,NULL,NULL,NA,NA
sk2019.41,sjk,contact,skupferberg@gmail.com,Rana boylii,Field,8/14/2019,1565740800,8,qPCR,1,NULL,1094.273,NULL,Brazil,NA,Coyote,Coyote,2,Coyote,Santa Clara,WC,NA,NA,NA,NA,NA,NA,U,J,17.6,0.9,no dead frogs at puddle,N,NULL,NA,NULL,NULL,NA,NA
sk2019.42,sjk,contact,skupferberg@gmail.com,Rana boylii,Field,8/14/2019,1565740800,8,qPCR,NULL,1,0,NULL,Brazil,NA,Coyote,Coyote,2,Coyote,Santa Clara,WC,NA,NA,NA,NA,NA,NA,U,J,14.1,0.8,no dead frogs at puddle,N,NULL,NA,NULL,NULL,NA,NA
sk2019.43,sjk,contact,skupferberg@gmail.com,Rana boylii,Field,8/14/2019,1565740800,8,qPCR,NULL,1,0,NULL,Brazil,NA,Coyote,Coyote,2,Coyote,Santa Clara,WC,NA,NA,NA,NA,NA,NA,U,J,19.4,1.5,a couple of dead frogs in pools of the trib,N,NULL,NA,NULL,NULL,NA,NA
sk2019.44,sjk,contact,skupferberg@gmail.com,Rana boylii,Field,8/14/2019,1565740800,8,qPCR,NULL,1,0,NULL,Brazil,NA,Coyote,Coyote,2,Coyote,Santa Clara,WC,NA,NA,NA,NA,NA,NA,U,T,18.8,NA,NA,N,NULL,NA,NULL,NULL,NA,NA
sk2019.45,sjk,contact,skupferberg@gmail.com,Rana boylii,Field,8/14/2019,1565740800,8,qPCR,NULL,1,0,NULL,Brazil,NA,Coyote,Coyote,2,Coyote,Santa Clara,WC,NA,NA,NA,NA,NA,NA,U,T,15.2,NA,NA,N,NULL,NA,NULL,NULL,NA,NA
sk2019.46,sjk,contact,skupferberg@gmail.com,Rana boylii,Field,8/14/2019,1565740800,8,qPCR,NULL,1,0,NULL,Brazil,NA,Coyote,Coyote,2,Coyote,Santa Clara,WC,NA,NA,NA,NA,NA,NA,U,J,18.5,0.8,"Dead toad collected at site, other listless bullfrogs seen at site",N,NULL,NA,NULL,NULL,NA,NA
sk2019.47,sjk,contact,skupferberg@gmail.com,Rana boylii,Field,8/14/2019,1565740800,8,qPCR,NULL,1,0,NULL,Brazil,NA,Coyote,Coyote,2,Coyote,Santa Clara,WC,NA,NA,NA,NA,NA,NA,U,T,14.6,NA,NA,N,NULL,NA,NULL,NULL,NA,NA
sk2019.48,sjk,contact,skupferberg@gmail.com,Rana boylii,Field,8/14/2019,1565740800,8,qPCR,NULL,1,0,NULL,Brazil,NA,Coyote,Coyote,2,Coyote,Santa Clara,WC,NA,NA,NA,NA,NA,NA,U,T,19.3,NA,NA,N,NULL,NA,NULL,NULL,NA,NA
sk2019.49,sjk,contact,skupferberg@gmail.com,Rana boylii,Field,8/14/2019,1565740800,8,qPCR,NULL,1,0,NULL,Brazil,NA,Coyote,Coyote,2,Coyote,Santa Clara,WC,NA,NA,NA,NA,NA,NA,U,J,23.7,3.1,"around perimeter of pool where dead and dying frogs observed, most treefrogs were under rocks, not in the water",N,NULL,NA,NULL,NULL,NA,NA
sk2019.50,sjk,contact,skupferberg@gmail.com,Rana boylii,Field,8/14/2019,1565740800,8,qPCR,NULL,1,0,NULL,Brazil,NA,Coyote,Coyote,2,Coyote,Santa Clara,WC,NA,NA,NA,NA,NA,NA,U,J,19,1.6,"around perimeter of pool where dead and dying frogs observed, most treefrogs were under rocks, not in the water",N,NULL,NA,NULL,NULL,NA,NA
sk2019.51,sjk,contact,skupferberg@gmail.com,Rana boylii,Field,8/14/2019,1565740800,8,qPCR,NULL,1,0,NULL,Brazil,NA,Coyote,Coyote,2,Coyote,Santa Clara,WC,NA,NA,NA,NA,NA,NA,U,J,20.6,1.7,"around perimeter of pool where dead and dying frogs observed, most treefrogs were under rocks, not in the water",N,NULL,NA,NULL,NULL,NA,NA
sk2019.52,sjk,contact,skupferberg@gmail.com,Rana boylii,Field,8/14/2019,1565740800,8,qPCR,NULL,1,0,NULL,Brazil,NA,Coyote,Coyote,2,Coyote,Santa Clara,WC,NA,NA,NA,NA,NA,NA,U,J,25.3,2.1,"around perimeter of pool where dead and dying frogs observed, most treefrogs were under rocks, not in the water",N,NULL,NA,NULL,NULL,NA,NA
sk2019.53,sjk,contact,skupferberg@gmail.com,Rana boylii,Field,8/14/2019,1565740800,8,qPCR,NULL,1,0,NULL,Brazil,NA,Coyote,Coyote,2,Coyote,Santa Clara,WC,NA,NA,NA,NA,NA,NA,U,J,26.8,2.2,"around perimeter of pool where dead and dying frogs observed, most treefrogs were under rocks, not in the water",N,NULL,NA,NULL,NULL,NA,NA
sk2019.54,sjk,contact,skupferberg@gmail.com,Rana boylii,Field,8/14/2019,1565740800,8,qPCR,NULL,1,0,NULL,Brazil,NA,Coyote,Coyote,2,Coyote,Santa Clara,WC,NA,NA,NA,NA,NA,NA,U,T,17.2,NA,NA,N,NULL,NA,NULL,NULL,NA,NA
sk2019.55,sjk,contact,skupferberg@gmail.com,Rana boylii,Field,8/14/2019,1565740800,8,qPCR,NULL,1,0,NULL,Brazil,NA,Coyote,Coyote,2,Coyote,Santa Clara,WC,NA,NA,NA,NA,NA,NA,U,T,17.2,NA,NA,N,NULL,NA,NULL,NULL,NA,NA
sk2019.56,sjk,contact,skupferberg@gmail.com,Rana boylii,Field,8/14/2019,1565740800,8,qPCR,NULL,1,0,NULL,Brazil,NA,Coyote,Coyote,2,Coyote,Santa Clara,WC,NA,NA,NA,NA,NA,NA,U,T,18.9,NA,NA,N,NULL,NA,NULL,NULL,NA,NA
sk2019.57,sjk,contact,skupferberg@gmail.com,Rana boylii,Field,8/14/2019,1565740800,8,qPCR,NULL,1,0,NULL,Brazil,NA,Coyote,Coyote,2,Coyote,Santa Clara,WC,NA,NA,NA,NA,NA,NA,U,T,20.5,NA,NA,N,NULL,NA,NULL,NULL,NA,NA
sk2019.58,sjk,contact,skupferberg@gmail.com,Rana boylii,Field,8/14/2019,1565740800,8,qPCR,NULL,1,0,NULL,Brazil,NA,Coyote,Coyote,2,Coyote,Santa Clara,WC,NA,NA,NA,NA,NA,NA,U,T,19.2,NA,NA,N,NULL,NA,NULL,NULL,NA,NA
sk2019.59,sjk,contact,skupferberg@gmail.com,Rana boylii,Field,8/14/2019,1565740800,8,qPCR,NULL,1,0,NULL,Brazil,NA,Coyote,Coyote,2,Coyote,Santa Clara,WC,NA,NA,NA,NA,NA,NA,U,J,21.5,1.3,NA,N,NULL,NA,NULL,NULL,NA,NA
sk2019.61,sjk,contact,skupferberg@gmail.com,Rana boylii,Field,8/14/2019,1565740800,8,qPCR,NULL,1,0,NULL,Brazil,NA,Coyote,Coyote,2,Coyote,Santa Clara,WC,NA,NA,NA,NA,NA,NA,U,J,27.5,2.9,NA,N,NULL,NA,NULL,NULL,NA,NA
sk2019.62,sjk,contact,skupferberg@gmail.com,Rana boylii,Field,8/14/2019,1565740800,8,qPCR,NULL,1,0,NULL,Brazil,NA,Coyote,Coyote,2,Coyote,Santa Clara,WC,NA,NA,NA,NA,NA,NA,U,J,24.8,1.9,necropsy showed salmonella infection,N,NULL,NA,NULL,NULL,NA,NA
ER01,sjk,contact,skupferberg@gmail.com vancevredenburg@gmail.com,Rana boylii,Field,5/29/2005,1117324800,5,qPCR,1,NULL,3306.864,NULL,Brazil,NA,Fox creek,Angelo,0,SF Eel,Mendocino,NNC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,N,NULL,NA,NULL,NULL,NA,NA
ER02,sjk,contact,skupferberg@gmail.com vancevredenburg@gmail.com,Rana boylii,Field,5/29/2005,1117324800,5,qPCR,1,NULL,3250.648,NULL,Brazil,NA,Fox creek,Angelo,0,SF Eel,Mendocino,NNC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,N,NULL,NA,NULL,NULL,NA,NA
ER03,sjk,contact,skupferberg@gmail.com vancevredenburg@gmail.com,Rana boylii,Field,5/29/2005,1117324800,5,qPCR,NULL,1,0,NULL,Brazil,NA,Fox creek,Angelo,0,SF Eel,Mendocino,NNC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,N,NULL,NA,NULL,NULL,NA,NA
ER04,sjk,contact,skupferberg@gmail.com vancevredenburg@gmail.com,Rana boylii,Field,5/29/2005,1117324800,5,qPCR,1,NULL,846.848,NULL,Brazil,NA,Fox creek,Angelo,0,SF Eel,Mendocino,NNC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,N,NULL,NA,NULL,NULL,NA,NA
ER05,sjk,contact,skupferberg@gmail.com vancevredenburg@gmail.com,Rana boylii,Field,5/29/2005,1117324800,5,qPCR,1,NULL,1998.264,NULL,Brazil,NA,Fox creek,Angelo,0,SF Eel,Mendocino,NNC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,N,NULL,NA,NULL,NULL,NA,NA
ER06,sjk,contact,skupferberg@gmail.com vancevredenburg@gmail.com,Rana boylii,Field,5/29/2005,1117324800,5,qPCR,NULL,1,0,NULL,Brazil,NA,Fox creek,Angelo,0,SF Eel,Mendocino,NNC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,N,NULL,NA,NULL,NULL,NA,NA
ER07,sjk,contact,skupferberg@gmail.com vancevredenburg@gmail.com,Rana boylii,Field,5/29/2005,1117324800,5,qPCR,NULL,1,0,NULL,Brazil,NA,Fox creek,Angelo,0,SF Eel,Mendocino,NNC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,N,NULL,NA,NULL,NULL,NA,NA
ER10,sjk,contact,skupferberg@gmail.com vancevredenburg@gmail.com,Rana boylii,Field,5/29/2005,1117324800,5,qPCR,NULL,1,0,NULL,Brazil,NA,Fox creek,Angelo,0,SF Eel,Mendocino,NNC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,N,NULL,NA,NULL,NULL,NA,NA
ER5_05,sjk,contact,skupferberg@gmail.com vancevredenburg@gmail.com,Rana boylii,Field,6/15/2005,1118793600,6,qPCR,1,NULL,40.83936,NULL,Brazil,NA,Fox creek,Angelo,0,SF Eel,Mendocino,NNC,NA,NA,NA,NA,NA,NA,U,A,47,NA,NA,N,NULL,NA,NULL,NULL,NA,NA
ER5_17,sjk,contact,skupferberg@gmail.com vancevredenburg@gmail.com,Rana boylii,Field,6/16/2005,1118880000,6,qPCR,NULL,1,0,NULL,Brazil,NA,Fox creek br.,Angelo,0,SF Eel,Mendocino,NNC,NA,NA,NA,NA,NA,NA,U,A,59,NA,NA,N,NULL,NA,NULL,NULL,NA,NA
sk2018.121,sjk,contact,skupferberg@gmail.com,Rana boylii,Field,10/22/2018,1540166400,10,qPCR,1,NULL,64776.855,NULL,Brazil,NA,GrapevineSpring,Coyote,2,Coyote,Santa Clara,WC,NA,NA,NA,NA,NA,NA,U,J,28.5,3.06,NA,N,NULL,NA,NULL,NULL,NA,NA
sk2018.122,sjk,contact,skupferberg@gmail.com,Rana boylii,Field,10/22/2018,1540166400,10,qPCR,1,NULL,397330.039,NULL,Brazil,NA,GrapevineSpring,Coyote,2,Coyote,Santa Clara,WC,NA,NA,NA,NA,NA,NA,F,A,33,4.93,NA,N,NULL,NA,NULL,NULL,NA,NA
sk2018.123,sjk,contact,skupferberg@gmail.com,Rana boylii,Field,10/22/2018,1540166400,10,qPCR,1,NULL,72398.999,NULL,Brazil,NA,GrapevineSpring,Coyote,2,Coyote,Santa Clara,WC,NA,NA,NA,NA,NA,NA,F,A,33.5,4.38,NA,N,NULL,NA,NULL,NULL,NA,NA
sk2018.124,sjk,contact,skupferberg@gmail.com,Rana boylii,Field,10/22/2018,1540166400,10,qPCR,1,NULL,7019.753,NULL,Brazil,NA,GrapevineSpring,Coyote,2,Coyote,Santa Clara,WC,NA,NA,NA,NA,NA,NA,M,A,36.5,4.83,NA,N,NULL,NA,NULL,NULL,NA,NA
sk2018.125,sjk,contact,skupferberg@gmail.com,Rana boylii,Field,10/22/2018,1540166400,10,qPCR,1,NULL,45567.178,NULL,Brazil,NA,GrapevineSpring,Coyote,2,Coyote,Santa Clara,WC,NA,NA,NA,NA,NA,NA,M,A,37.5,6.8,NA,N,NULL,NA,NULL,NULL,NA,NA
sk2019.081,sjk,contact,skupferberg@gmail.com,Rana boylii,Field,8/15/2019,1565827200,8,qPCR,NULL,1,0,NULL,Brazil,NA,GrapevineSpring,Coyote,2,Coyote,Santa Clara,WC,NA,NA,NA,NA,NA,NA,U,J,24.2,2.1,"walking toward river on rainy day, peptides collected",N,NULL,NA,NULL,NULL,NA,NA
sk2019.082,sjk,contact,skupferberg@gmail.com,Rana boylii,Field,8/15/2019,1565827200,8,qPCR,1,NULL,149495.303,NULL,Brazil,NA,GrapevineSpring,Coyote,2,Coyote,Santa Clara,WC,NA,NA,NA,NA,NA,NA,U,J,23.9,2.6,skin alkaloid samples collected,N,NULL,NA,NULL,NULL,NA,NA
sk2019.083,sjk,contact,skupferberg@gmail.com,Rana boylii,Field,8/15/2019,1565827200,8,qPCR,NULL,1,0,NULL,Brazil,NA,GrapevineSpring,Coyote,2,Coyote,Santa Clara,WC,NA,NA,NA,NA,NA,NA,U,J,28.5,3.4,skin alkaloid samples collected,N,NULL,NA,NULL,NULL,NA,NA
sk2019.084,sjk,contact,skupferberg@gmail.com,Rana boylii,Field,8/15/2019,1565827200,8,qPCR,NULL,1,0,NULL,Brazil,NA,GrapevineSpring,Coyote,2,Coyote,Santa Clara,WC,NA,NA,NA,NA,NA,NA,U,J,27.9,3.5,NA,N,NULL,NA,NULL,NULL,NA,NA
sk2019.085,sjk,contact,skupferberg@gmail.com,Rana boylii,Field,8/15/2019,1565827200,8,qPCR,NULL,1,0,NULL,Brazil,NA,GrapevineSpring,Coyote,2,Coyote,Santa Clara,WC,NA,NA,NA,NA,NA,NA,U,J,22.2,1.5,skin alkaloid samples collected,N,NULL,NA,NULL,NULL,NA,NA
sk2019.086,sjk,contact,skupferberg@gmail.com,Rana boylii,Field,8/15/2019,1565827200,8,qPCR,1,NULL,10584.504,NULL,Brazil,NA,GrapevineSpring,Coyote,2,Coyote,Santa Clara,WC,NA,NA,NA,NA,NA,NA,U,J,31.5,4.6,NA,N,NULL,NA,NULL,NULL,NA,NA
sk2019.099,sjk,contact,skupferberg@gmail.com,Rana boylii,Field,8/15/2019,1565827200,8,qPCR,1,NULL,25946.667,NULL,Brazil,NA,GrapevineSpring,Coyote,2,Coyote,Santa Clara,WC,NA,NA,NA,NA,NA,NA,U,J,30.5,4.3,NA,N,NULL,NA,NULL,NULL,NA,NA
sk2019.259,sjk,contact,skupferberg@gmail.com,Rana boylii,Field,10/4/2019,1570147200,10,qPCR,1,NULL,71538.643,NULL,Brazil,NA,GrapevineSpring,Coyote,2,Coyote,Santa Clara,WC,NA,NA,NA,NA,NA,NA,U,J,27.1,3.2,NA,N,NULL,NA,NULL,NULL,NA,NA
sk2019.260,sjk,contact,skupferberg@gmail.com,Rana boylii,Field,10/4/2019,1570147200,10,qPCR,1,NULL,147140.635,NULL,Brazil,NA,GrapevineSpring,Coyote,2,Coyote,Santa Clara,WC,NA,NA,NA,NA,NA,NA,U,J,25,2,NA,N,NULL,NA,NULL,NULL,NA,NA
sk2019.261,sjk,contact,skupferberg@gmail.com,Rana boylii,Field,10/4/2019,1570147200,10,qPCR,1,NULL,10051.761,NULL,Brazil,NA,GrapevineSpring,Coyote,2,Coyote,Santa Clara,WC,NA,NA,NA,NA,NA,NA,U,J,27,3,NA,N,NULL,NA,NULL,NULL,NA,NA
sk2019.262,sjk,contact,skupferberg@gmail.com,Rana boylii,Field,10/4/2019,1570147200,10,qPCR,1,NULL,153.149,NULL,Brazil,NA,GrapevineSpring,Coyote,2,Coyote,Santa Clara,WC,NA,NA,NA,NA,NA,NA,M,A,38,6.2,NA,N,NULL,NA,NULL,NULL,NA,NA
sk2019.263,sjk,contact,skupferberg@gmail.com,Rana boylii,Field,10/4/2019,1570147200,10,qPCR,1,NULL,962.861,NULL,Brazil,NA,GrapevineSpring,Coyote,2,Coyote,Santa Clara,WC,NA,NA,NA,NA,NA,NA,U,J,23.5,2.75,NA,N,NULL,NA,NULL,NULL,NA,NA
sk2019.265,sjk,contact,skupferberg@gmail.com,Rana boylii,Field,10/4/2019,1570147200,10,qPCR,1,NULL,56618.14,NULL,Brazil,NA,GrapevineSpring,Coyote,2,Coyote,Santa Clara,WC,NA,NA,NA,NA,NA,NA,F,A,33.8,5.3,NA,N,NULL,NA,NULL,NULL,NA,NA
sk2019.266,sjk,contact,skupferberg@gmail.com,Rana boylii,Field,10/4/2019,1570147200,10,qPCR,1,NULL,15175.634,NULL,Brazil,NA,GrapevineSpring,Coyote,2,Coyote,Santa Clara,WC,NA,NA,NA,NA,NA,NA,F,A,34.1,4,NA,N,NULL,NA,NULL,NULL,NA,NA
sk2019.267,sjk,contact,skupferberg@gmail.com,Rana boylii,Field,10/4/2019,1570147200,10,qPCR,1,NULL,3052658.203,NULL,Brazil,NA,GrapevineSpring,Coyote,2,Coyote,Santa Clara,WC,NA,NA,NA,NA,NA,NA,U,J,29.2,3.4,NA,N,NULL,NA,NULL,NULL,NA,NA
sk2019.268,sjk,contact,skupferberg@gmail.com,Rana boylii,Field,10/4/2019,1570147200,10,qPCR,1,NULL,369.968,NULL,Brazil,NA,GrapevineSpring,Coyote,2,Coyote,Santa Clara,WC,NA,NA,NA,NA,NA,NA,M,A,36,6.7,NA,N,NULL,NA,NULL,NULL,NA,NA
sk2019.269,sjk,contact,skupferberg@gmail.com,Rana boylii,Field,10/4/2019,1570147200,10,qPCR,1,NULL,12787.835,NULL,Brazil,NA,GrapevineSpring,Coyote,2,Coyote,Santa Clara,WC,NA,NA,NA,NA,NA,NA,F,A,35,5.5,NA,N,NULL,NA,NULL,NULL,NA,NA
sk2019.270,sjk,contact,skupferberg@gmail.com,Rana boylii,Field,10/4/2019,1570147200,10,qPCR,1,NULL,788.78,NULL,Brazil,NA,GrapevineSpring,Coyote,2,Coyote,Santa Clara,WC,NA,NA,NA,NA,NA,NA,F,A,35.3,5.6,NA,N,NULL,NA,NULL,NULL,NA,NA
sk2019.271,sjk,contact,skupferberg@gmail.com,Rana boylii,Field,10/4/2019,1570147200,10,qPCR,1,NULL,304.414,NULL,Brazil,NA,GrapevineSpring,Coyote,2,Coyote,Santa Clara,WC,NA,NA,NA,NA,NA,NA,U,J,28.7,3,NA,N,NULL,NA,NULL,NULL,NA,NA
sk2019.272,sjk,contact,skupferberg@gmail.com,Rana boylii,Field,10/4/2019,1570147200,10,qPCR,1,NULL,65750.969,NULL,Brazil,NA,GrapevineSpring,Coyote,2,Coyote,Santa Clara,WC,NA,NA,NA,NA,NA,NA,U,J,28.5,2.6,NA,N,NULL,NA,NULL,NULL,NA,NA
sk2019.273,sjk,contact,skupferberg@gmail.com,Rana boylii,Field,10/4/2019,1570147200,10,qPCR,1,NULL,1207.914,NULL,Brazil,NA,GrapevineSpring,Coyote,2,Coyote,Santa Clara,WC,NA,NA,NA,NA,NA,NA,U,J,28.4,2.9,NA,N,NULL,NA,NULL,NULL,NA,NA
sk2019.274,sjk,contact,skupferberg@gmail.com,Rana boylii,Field,10/4/2019,1570147200,10,qPCR,1,NULL,87114.478,NULL,Brazil,NA,GrapevineSpring,Coyote,2,Coyote,Santa Clara,WC,NA,NA,NA,NA,NA,NA,U,J,28.6,2.5,NA,N,NULL,NA,NULL,NULL,NA,NA
sk2019.275,sjk,contact,skupferberg@gmail.com,Rana boylii,Field,10/4/2019,1570147200,10,qPCR,1,NULL,3899.657,NULL,Brazil,NA,GrapevineSpring,Coyote,2,Coyote,Santa Clara,WC,NA,NA,NA,NA,NA,NA,U,J,30,4.1,NA,N,NULL,NA,NULL,NULL,NA,NA
sk2019.277,sjk,contact,skupferberg@gmail.com,Rana boylii,Field,10/4/2019,1570147200,10,qPCR,1,NULL,17.409,NULL,Brazil,NA,GrapevineSpring,Coyote,2,Coyote,Santa Clara,WC,NA,NA,NA,NA,NA,NA,F,A,37.7,7,NA,N,NULL,NA,NULL,NULL,NA,NA
sk2019.278,sjk,contact,skupferberg@gmail.com,Rana boylii,Field,10/4/2019,1570147200,10,qPCR,1,NULL,42724.958,NULL,Brazil,NA,GrapevineSpring,Coyote,2,Coyote,Santa Clara,WC,NA,NA,NA,NA,NA,NA,U,J,27.9,3,NA,N,NULL,NA,NULL,NULL,NA,NA
sk2019.279,sjk,contact,skupferberg@gmail.com,Rana boylii,Field,10/4/2019,1570147200,10,qPCR,1,NULL,1440268.125,NULL,Brazil,NA,GrapevineSpring,Coyote,2,Coyote,Santa Clara,WC,NA,NA,NA,NA,NA,NA,U,J,27.6,3,NA,N,NULL,NA,NULL,NULL,NA,NA
sk2019.334,sjk,contact,skupferberg@gmail.com,Rana boylii,Field,10/30/2019,1572393600,10,qPCR,1,NULL,740128.75,NULL,Brazil,NA,GrapevineSpring,Coyote,2,Coyote,Santa Clara,WC,NA,NA,NA,NA,NA,NA,U,J,27,2.2,NA,N,NULL,NA,NULL,NULL,NA,NA
sk2019.335,sjk,contact,skupferberg@gmail.com,Rana boylii,Field,10/30/2019,1572393600,10,qPCR,1,NULL,1403832.031,NULL,Brazil,NA,GrapevineSpring,Coyote,2,Coyote,Santa Clara,WC,NA,NA,NA,NA,NA,NA,U,J,30.5,3.1,NA,N,NULL,NA,NULL,NULL,NA,NA
sk2019.336,sjk,contact,skupferberg@gmail.com,Rana boylii,Field,10/30/2019,1572393600,10,qPCR,1,NULL,94392.52,NULL,Brazil,NA,GrapevineSpring,Coyote,2,Coyote,Santa Clara,WC,NA,NA,NA,NA,NA,NA,U,J,31.5,3.5,NA,N,NULL,NA,NULL,NULL,NA,NA
SSI 002,SJK from Jeff Lauder,contact,jeff@sierrastreamsinstitute.org,Rana boylii,Field,6/6/2016,June,6,PCR,NULL,1,NULL,NULL,NA,NA,GreenhornYou Bet Road,Greenhorn,2,Bear,Nevada,NNS,NA,NA,NA,NA,NA,NA,U,J,NA,NA,2nd year,N,NULL,N,NULL,NULL,NA,NA
SSI 751,SJK from Jeff Lauder,contact,jeff@sierrastreamsinstitute.org,Rana boylii,Field,6/6/2016,June,6,PCR,NULL,1,NULL,NULL,NA,NA,GreenhornYou Bet Road,Greenhorn,2,Bear,Nevada,NNS,NA,NA,NA,NA,NA,NA,M,A,44.5,NA,NA,N,NULL,N,NULL,NULL,NA,NA
DELN01-01-MA,SJK,literature and contact Mike Adams ARMI,mjadams@usgs.gov,Rana boylii,Field,6/6/2006,June,6,NA,NULL,1,NULL,NULL,NA,NA,"HurdyGurdy Ck, nr confluence with Smith River",HurdyGurdy,0,Smith,DelNorte,NNC,NA,NA,NA,NA,NA,NA,F,A,60,NA,NA,N,NULL,NA,NULL,NULL,NA,NA
DELN01-02-MA,SJK,literature and contact Mike Adams ARMI,mjadams@usgs.gov,Rana boylii,Field,6/6/2006,June,6,NA,NULL,1,NULL,NULL,NA,NA,"HurdyGurdy Ck, nr confluence with Smith River",HurdyGurdy,0,Smith,DelNorte,NNC,NA,NA,NA,NA,NA,NA,F,A,65,NA,NA,N,NULL,NA,NULL,NULL,NA,NA
